timestamp,tagID,pos_x,pos_y,pos_z,quality,n_dist,anchorID_1,dist_1,anchorID_2,dist_2,anchorID_3,dist_3,anchorID_4,dist_4,anchorID_5,dist_5,accelerometro,ax,ay,az,giroscopio,gx,gy,gz,magnetometro,mx,my,mz
20:03.7,bleT2,-,-,-,0,4,bleA4,-75,bleA2,-60,bleA3,-71,bleA5,-72,A,811.117,-46.482,563.823,G,-350,-280,-490,M,-513,19.5,-66,,
20:03.8,bleT2,-,-,-,0,5,bleA4,-69,bleA2,-62,bleA3,-61,bleA5,-73,bleA6,-76,A,810.385,-46.787,562.725,G,-350,-140,-560,M,-507,21,-76.5
20:03.9,bleT2,-,-,-,0,5,bleA5,-74,bleA4,-75,bleA2,-62,bleA3,-75,bleA6,-83,A,809.104,-42.517,559.919,G,-420,-210,-560,M,-507,13.5,-69
20:04.0,bleT2,-,-,-,0,5,bleA3,-62,bleA6,-72,bleA4,-68,bleA2,-60,bleA5,-73,A,814.472,-42.7,560.102,G,-350,-280,-560,M,-510,21,-61.5
20:04.1,bleT2,-,-,-,0,2,bleA2,-63,bleA3,-76,A,808.494,-45.079,562.603,G,-350,-350,-630,M,-510,27,-66,,,,,,
20:04.2,bleT2,-,-,-,0,4,bleA4,-67,bleA5,-76,bleA6,-72,bleA2,-63,A,814.472,-46.238,561.505,G,-280,-210,-630,M,-520.5,24,-70.5,,
20:04.4,bleT2,-,-,-,0,5,bleA2,-60,bleA4,-74,bleA5,-71,bleA3,-66,bleA6,-82,A,811.3,-45.933,562.664,G,-420,-350,-630,M,-508.5,22.5,-69
20:04.5,bleT2,-,-,-,0,4,bleA4,-67,bleA6,-76,bleA5,-75,bleA2,-62,A,813.679,-45.506,559.37,G,-420,-420,-700,M,-511.5,15,-76.5,,
20:04.6,bleT2,-,-,-,0,5,bleA2,-59,bleA5,-67,bleA3,-69,bleA6,-82,bleA4,-72,A,813.618,-43.981,563.945,G,-350,-350,-630,M,-511.5,13.5,-76.5
20:04.7,bleT2,-,-,-,0,5,bleA3,-66,bleA5,-74,bleA4,-69,bleA2,-61,bleA6,-72,A,809.775,-45.628,563.396,G,-350,-280,-560,M,-508.5,15,-61.5
