timestamp,tagID,pos_x,pos_y,pos_z,quality,n_dist,anchorID_1,dist_1,anchorID_2,dist_2,anchorID_3,dist_3,anchorID_4,dist_4,anchorID_5,dist_5,accelerometro,ax,ay,az,giroscopio,gx,gy,gz,magnetometro,mx,my,mz
25:01.0,bleT2,-,-,-,0,5,bleA4,-90,bleA3,-63,bleA5,-67,bleA6,-75,bleA2,-69,A,906.887,-62.891,-366.793,G,0,-700,-490,M,-526.5,435,177,
25:01.1,bleT2,-,-,-,0,5,bleA3,-69,bleA4,-85,bleA5,-77,bleA6,-72,bleA2,-67,A,911.157,-64.477,-365.146,G,70,-490,-770,M,-531,444,183,
25:01.2,bleT2,-,-,-,0,4,bleA5,-67,bleA6,-76,bleA3,-63,bleA2,-69,,,A,909.815,-67.832,-361.181,G,350,560,-700,M,-537,442.5,174,
25:01.3,bleT2,-,-,-,0,5,bleA3,-68,bleA2,-67,bleA4,-85,bleA5,-78,bleA6,-72,A,908.29,-66.856,-353.922,G,140,420,-1890,M,-535.5,430.5,178.5,
25:01.4,bleT2,-,-,-,0,4,bleA3,-63,bleA2,-70,bleA4,-87,bleA5,-78,,,A,926.529,-63.928,-357.643,G,-630,1400,-1610,M,-532.5,436.5,175.5,
25:01.5,bleT2,-,-,-,0,5,bleA4,-84,bleA6,-73,bleA3,-68,bleA2,-66,bleA5,-78,A,929.03,-68.198,-347.761,G,140,5390,3220,M,-525,441,171,
25:01.7,bleT2,-,-,-,0,5,bleA3,-67,bleA4,-84,bleA5,-80,bleA6,-74,bleA2,-64,A,851.682,-41.175,-359.046,G,-4760,-490,-840,M,-528,430.5,175.5,
25:01.8,bleT2,-,-,-,0,4,bleA2,-72,bleA4,-84,bleA5,-67,bleA6,-75,,,A,944.585,-84.851,-386.313,G,350,11690,-4760,M,-508.5,433.5,175.5,
25:01.9,bleT2,-,-,-,0,4,bleA3,-71,bleA4,-82,bleA5,-77,bleA6,-75,,,A,916.098,-193.797,-425.17,G,7910,-14560,11970,M,-507,429,162,
25:02.0,bleT2,-,-,-,0,5,bleA3,-56,bleA2,-64,bleA4,-83,bleA5,-66,bleA6,-74,A,898.53,-109.495,-265.655,G,18200,15610,12950,M,-523.5,441,154.5,
25:02.1,bleT2,-,-,-,0,4,bleA6,-84,bleA2,-60,bleA3,-57,bleA4,-76,,,A,871.751,-162.809,-206.241,G,17220,24430,-11480,M,-537,450,133.5,
