time,tagID,x,y,z,quality,n_dist,anchorID_1,dist_1,anchorID_2,dist_2,anchorID_3,dist_3,anchorID_4,dist_4,anchorID_5,dist_5,ax,ay,az,gx,gy,gz,mx,my,mz,A1,A2,A3,A4,A5,distance
2021-01-21 12:25:01.000,bleT2,0.0,0.0,0.0,0.0,5,bleA4,-90,bleA3,-63.0,bleA5,-67.0,bleA6,-75.0,bleA2,-69.0,906.887,-62.891,-366.793,0,-700,-490,-526.5,435.0,177.0,-69.0,-63.0,-90.0,-67.0,-75.0,0.0
2021-01-21 12:25:01.100,bleT2,0.0,0.0,0.0,0.0,5,bleA3,-69,bleA4,-85.0,bleA5,-77.0,bleA6,-72.0,bleA2,-67.0,911.157,-64.477,-365.146,70,-490,-770,-531.0,444.0,183.0,-67.0,-69.0,-85.0,-77.0,-72.0,0.0
2021-01-21 12:25:01.200,bleT2,0.0,0.0,0.0,0.0,4,bleA5,-67,bleA6,-76.0,bleA3,-63.0,bleA2,-69.0,,,909.815,-67.832,-361.181,350,560,-700,-537.0,442.5,174.0,-69.0,-63.0,,-67.0,-76.0,0.0
2021-01-21 12:25:01.300,bleT2,0.0,0.0,0.0,0.0,5,bleA3,-68,bleA2,-67.0,bleA4,-85.0,bleA5,-78.0,bleA6,-72.0,908.29,-66.856,-353.922,140,420,-1890,-535.5,430.5,178.5,-67.0,-68.0,-85.0,-78.0,-72.0,0.0
2021-01-21 12:25:01.400,bleT2,0.0,0.0,0.0,0.0,4,bleA3,-63,bleA2,-70.0,bleA4,-87.0,bleA5,-78.0,,,926.529,-63.928,-357.643,-630,1400,-1610,-532.5,436.5,175.5,-70.0,-63.0,-87.0,-78.0,,0.0
2021-01-21 12:25:01.500,bleT2,0.0,0.0,0.0,0.0,5,bleA4,-84,bleA6,-73.0,bleA3,-68.0,bleA2,-66.0,bleA5,-78.0,929.03,-68.198,-347.761,140,5390,3220,-525.0,441.0,171.0,-66.0,-68.0,-84.0,-78.0,-73.0,0.0
2021-01-21 12:25:01.700,bleT2,0.0,0.0,0.0,0.0,5,bleA3,-67,bleA4,-84.0,bleA5,-80.0,bleA6,-74.0,bleA2,-64.0,851.682,-41.175,-359.046,-4760,-490,-840,-528.0,430.5,175.5,-64.0,-67.0,-84.0,-80.0,-74.0,0.0
2021-01-21 12:25:01.800,bleT2,0.0,0.0,0.0,0.0,4,bleA2,-72,bleA4,-84.0,bleA5,-67.0,bleA6,-75.0,,,944.585,-84.851,-386.313,350,11690,-4760,-508.5,433.5,175.5,-72.0,,-84.0,-67.0,-75.0,0.0
2021-01-21 12:25:01.900,bleT2,0.0,0.0,0.0,0.0,4,bleA3,-71,bleA4,-82.0,bleA5,-77.0,bleA6,-75.0,,,916.098,-193.797,-425.17,7910,-14560,11970,-507.0,429.0,162.0,,-71.0,-82.0,-77.0,-75.0,0.0
2021-01-21 12:25:02.000,bleT2,0.0,0.0,0.0,0.0,5,bleA3,-56,bleA2,-64.0,bleA4,-83.0,bleA5,-66.0,bleA6,-74.0,898.53,-109.495,-265.655,18200,15610,12950,-523.5,441.0,154.5,-64.0,-56.0,-83.0,-66.0,-74.0,0.0
2021-01-21 12:25:02.100,bleT2,0.0,0.0,0.0,0.0,4,bleA6,-84,bleA2,-60.0,bleA3,-57.0,bleA4,-76.0,,,871.751,-162.809,-206.241,17220,24430,-11480,-537.0,450.0,133.5,-60.0,-57.0,-76.0,,-84.0,0.0
2021-01-21 12:25:02.200,bleT2,0.0,0.0,0.0,0.0,3,bleA5,-67,bleA3,-65.0,bleA2,-59.0,,,,,906.643,-63.623,-164.822,5810,5040,-20440,-537.0,471.0,123.0,-59.0,-65.0,,-67.0,,0.0
2021-01-21 12:25:02.300,bleT2,0.0,0.0,0.0,0.0,4,bleA3,-55,bleA4,-75.0,bleA5,-75.0,bleA6,-72.0,,,952.759,-26.169,-190.991,210,-18830,-12320,-519.0,471.0,130.5,,-55.0,-75.0,-75.0,-72.0,0.0
2021-01-21 12:25:02.400,bleT2,0.0,0.0,0.0,0.0,4,bleA5,-70,bleA3,-59.0,bleA2,-60.0,bleA4,-85.0,,,1007.781,16.958,-278.709,-13650,-12250,-11130,-514.5,468.0,142.5,-60.0,-59.0,-85.0,-70.0,,0.0
2021-01-21 12:25:02.500,bleT2,0.0,0.0,0.0,0.0,4,bleA3,-53,bleA2,-64.0,bleA5,-77.0,bleA6,-73.0,,,964.532,-11.712,-280.478,-20020,-5600,6020,-505.5,456.0,147.0,-64.0,-53.0,,-77.0,-73.0,0.0
2021-01-21 12:25:02.600,bleT2,0.0,0.0,0.0,0.0,4,bleA3,-67,bleA2,-60.0,bleA4,-82.0,bleA5,-67.0,,,908.778,-51.789,-299.266,-15470,-7140,11480,-507.0,454.5,151.5,-60.0,-67.0,-82.0,-67.0,,0.0
2021-01-21 12:25:02.800,bleT2,0.0,0.0,0.0,0.0,4,bleA4,-78,bleA6,-73.0,bleA3,-58.0,bleA2,-65.0,,,913.231,-59.841,-315.98,-9240,-1820,2030,-498.0,444.0,159.0,-65.0,-58.0,-78.0,,-73.0,0.0
2021-01-21 12:25:03.000,bleT2,0.0,0.0,0.0,0.0,1,bleA3,-60,,,,,,,,,935.862,13.786,-268.156,-8960,-1120,1610,-498.0,430.5,166.5,,-60.0,,,,0.0
